TIME,DOX2,DOX2_QC,DEPTH,station
2020-01-02,244.89213161730086,1.0,39.0,CCE1
2020-01-03,251.4542645791183,1.0,39.0,CCE1
2020-01-04,254.4457580728558,1.0,39.0,CCE1
2020-01-05,256.9099776238893,1.0,39.0,CCE1
2020-01-06,257.23826026633304,1.0,39.0,CCE1
2020-01-07,252.96631740259394,1.0,39.0,CCE1
2020-01-08,258.90205055274896,1.0,39.0,CCE1
2020-01-09,258.48880653575003,1.0,39.0,CCE1
2020-01-10,258.67463953254804,1.0,39.0,CCE1
2020-01-11,259.3402793808117,1.0,39.0,CCE1
2020-01-12,258.41649957985493,1.0,39.0,CCE1
2020-01-13,259.44618646753844,1.0,39.0,CCE1
2020-01-14,260.3111142968542,1.0,39.0,CCE1
2020-01-15,261.5236578540976,1.0,39.0,CCE1
2020-01-16,257.89205720321684,1.0,39.0,CCE1
2020-01-17,258.60977720232523,1.0,39.0,CCE1
2020-01-18,258.53687231247505,1.0,39.0,CCE1
2020-01-19,259.8569157160005,1.0,39.0,CCE1
2020-01-20,257.6548478670729,1.0,39.0,CCE1
2020-01-21,253.43608243457984,1.0,39.0,CCE1
2020-01-22,254.25416710534844,1.0,39.0,CCE1
2020-01-23,257.1813898176692,1.0,39.0,CCE1
2020-01-24,256.2861735285193,1.0,39.0,CCE1
2020-01-25,249.11979657465236,1.0,39.0,CCE1
2020-01-26,254.00812402553143,1.0,39.0,CCE1
2020-01-27,256.51821449407964,1.0,39.0,CCE1
2020-01-28,258.8710841201488,1.0,39.0,CCE1
2020-01-29,260.86738050272555,1.0,39.0,CCE1
2020-01-30,260.06352529965915,1.0,39.0,CCE1
2020-01-31,260.72740228274273,1.0,39.0,CCE1
2020-02-01,257.9762182038717,1.0,39.0,CCE1
2020-02-02,259.29792969470407,1.0,39.0,CCE1
2020-02-03,260.3094693661903,1.0,39.0,CCE1
2020-02-04,261.494610843458,1.0,39.0,CCE1
2020-02-05,260.3717152770075,1.0,39.0,CCE1
2020-02-06,257.8002381315142,1.0,39.0,CCE1
2020-02-07,254.84896116028457,1.0,39.0,CCE1
2020-02-08,258.78507182692925,1.0,39.0,CCE1
2020-02-09,258.3373340298843,1.0,39.0,CCE1
2020-02-10,259.35984312590466,1.0,39.0,CCE1
2020-02-11,261.59229389818034,1.0,39.0,CCE1
2020-02-12,260.4273296310342,1.0,39.0,CCE1
2020-02-13,261.27301188081435,1.0,39.0,CCE1
2020-02-14,254.99779931644696,1.0,39.0,CCE1
2020-02-15,257.27769120770455,1.0,39.0,CCE1
2020-02-16,259.19378988508487,1.0,39.0,CCE1
2020-02-17,259.078464787077,1.0,39.0,CCE1
2020-02-18,254.02903445670987,1.0,39.0,CCE1
2020-02-19,262.54764045407217,1.0,39.0,CCE1
2020-02-20,263.5241961447537,1.0,39.0,CCE1
2020-02-21,263.25758695935144,1.0,39.0,CCE1
2020-02-22,267.43763151452123,1.0,39.0,CCE1
2020-02-23,264.9816372167335,1.0,39.0,CCE1
2020-02-24,266.07061746256784,1.0,39.0,CCE1
2020-02-25,266.51772343412534,1.0,39.0,CCE1
2020-02-26,262.7151413885987,1.0,39.0,CCE1
2020-02-27,261.3648203380821,1.0,39.0,CCE1
2020-02-28,263.95214266600874,1.0,39.0,CCE1
2020-02-29,265.2699930631479,1.0,39.0,CCE1
2020-03-01,266.53164496750384,1.0,39.0,CCE1
2020-03-02,264.86011228545095,1.0,39.0,CCE1
2020-03-03,268.27513948062,1.0,39.0,CCE1
2020-03-04,264.1929163524457,1.0,39.0,CCE1
2020-03-05,262.7258274052251,1.0,39.0,CCE1
2020-03-06,264.6867081619185,1.0,39.0,CCE1
2020-03-07,260.99110115081896,1.0,39.0,CCE1
2020-03-08,269.8641178271289,1.0,39.0,CCE1
2020-03-09,270.3650936253348,1.0,39.0,CCE1
2020-03-10,269.94393973527264,1.0,39.0,CCE1
2020-03-11,268.16172170492763,1.0,39.0,CCE1
2020-03-12,267.0086963649196,1.0,39.0,CCE1
2020-03-13,267.75635000374973,1.0,39.0,CCE1
2020-03-14,266.23696050769735,1.0,39.0,CCE1
2020-03-15,265.3408504184983,1.0,39.0,CCE1
2020-03-16,260.71301214691556,1.0,39.0,CCE1
2020-03-17,260.0619995626791,1.0,39.0,CCE1
2020-03-18,259.88563433207077,1.0,39.0,CCE1
2020-03-19,257.9589594812396,1.0,39.0,CCE1
2020-03-20,256.8353187771067,1.0,39.0,CCE1
2020-03-21,244.210141941479,1.0,39.0,CCE1
2020-03-22,248.83129077249262,1.0,39.0,CCE1
2020-03-23,254.762515080515,1.0,39.0,CCE1
2020-03-24,257.66743740135297,1.0,39.0,CCE1
2020-03-25,257.696212499771,1.0,39.0,CCE1
2020-03-26,244.23547834128613,1.0,39.0,CCE1
2020-03-27,258.9249627051815,1.0,39.0,CCE1
2020-03-28,261.4069545357583,1.0,39.0,CCE1
2020-03-29,261.4793411789504,1.0,39.0,CCE1
2020-03-30,259.89530097435477,1.0,39.0,CCE1
2020-03-31,261.31085314723884,1.0,39.0,CCE1
2020-04-01,262.94692573534536,1.0,39.0,CCE1
2020-04-02,263.99111729236216,1.0,39.0,CCE1
2020-04-03,263.08449648901603,1.0,39.0,CCE1
2020-04-04,262.3336892366134,1.0,39.0,CCE1
2020-04-05,262.58259297543543,1.0,39.0,CCE1
2020-04-06,262.35419687603616,1.0,39.0,CCE1
