date,station,oxygen
2015-10-21,CCE2,236.9764404296875
2015-10-22,CCE2,237.5871124267578
2015-10-23,CCE2,240.0629119873047
2015-10-24,CCE2,242.8675994873047
2015-10-25,CCE2,242.9287109375
2015-10-26,CCE2,244.9595947265625
2015-10-27,CCE2,244.20179748535156
2015-10-28,CCE2,245.6214141845703
2015-10-29,CCE2,244.3088836669922
2015-10-30,CCE2,244.34063720703125
2015-10-31,CCE2,245.388916015625
2015-11-01,CCE2,245.3978271484375
2015-11-02,CCE2,243.310546875
2015-11-03,CCE2,240.1630401611328
2015-11-04,CCE2,240.7879638671875
2015-11-05,CCE2,242.8873291015625
2015-11-06,CCE2,245.72108459472656
2015-11-07,CCE2,246.23834228515625
2015-11-08,CCE2,249.0214385986328
2015-11-09,CCE2,249.3029632568359
2015-11-10,CCE2,250.00958251953125
2015-11-11,CCE2,247.6533966064453
2015-11-12,CCE2,245.62144470214844
2015-11-13,CCE2,244.5547637939453
2015-11-14,CCE2,243.6423797607422
2015-11-15,CCE2,244.36834716796875
2015-11-16,CCE2,248.1486053466797
2015-11-17,CCE2,244.4499969482422
2015-11-18,CCE2,245.0431365966797
2015-11-19,CCE1,
2015-11-19,CCE2,240.65087890625
2015-11-20,CCE1,251.17377941890427
2015-11-20,CCE2,239.67478942871097
2015-11-21,CCE1,251.6043218548471
2015-11-21,CCE2,243.7950439453125
2015-11-22,CCE1,252.1247857893303
2015-11-22,CCE2,246.08799743652344
2015-11-23,CCE1,252.6133296561459
2015-11-23,CCE2,249.9202880859375
2015-11-24,CCE1,253.00063133544077
2015-11-24,CCE2,248.30873107910156
2015-11-25,CCE1,252.82875540226485
2015-11-25,CCE2,243.2680206298828
2015-11-26,CCE1,252.35972989077024
2015-11-26,CCE2,240.7804412841797
2015-11-27,CCE1,252.41590852097235
2015-11-27,CCE2,236.3366241455078
2015-11-28,CCE1,252.33160418419217
2015-11-28,CCE2,238.3246307373047
2015-11-29,CCE1,252.5887943905784
2015-11-29,CCE2,233.2596435546875
2015-11-30,CCE1,252.98430531119212
2015-11-30,CCE2,240.89453125
2015-12-01,CCE1,253.06572260792393
2015-12-01,CCE2,242.26507568359375
2015-12-02,CCE1,252.83765812880992
2015-12-02,CCE2,244.83441162109375
2015-12-03,CCE1,253.0991299528843
2015-12-03,CCE2,238.70021057128903
2015-12-04,CCE1,253.10276655099383
2015-12-04,CCE2,237.3726043701172
2015-12-05,CCE1,253.7015023137036
2015-12-05,CCE2,234.6418304443359
2015-12-06,CCE1,253.64843176417324
2015-12-06,CCE2,233.33702087402344
2015-12-07,CCE1,253.74027918340929
2015-12-07,CCE2,231.3771514892578
2015-12-08,CCE1,253.93375965731948
2015-12-08,CCE2,235.3439483642578
2015-12-09,CCE1,254.24149705210024
2015-12-09,CCE2,239.79014587402344
2015-12-10,CCE1,255.27796739007468
2015-12-10,CCE2,234.89190673828125
2015-12-11,CCE1,257.5838211111775
2015-12-11,CCE2,238.72401428222656
2015-12-12,CCE1,256.3229723552185
2015-12-12,CCE2,238.3596343994141
2015-12-13,CCE1,256.24006002005177
2015-12-13,CCE2,238.28240966796875
2015-12-14,CCE1,255.74163488977385
2015-12-14,CCE2,237.81756591796875
2015-12-15,CCE1,257.21393118929416
2015-12-15,CCE2,237.07667541503903
2015-12-16,CCE1,256.89144215679465
2015-12-16,CCE2,234.2884979248047
2015-12-17,CCE1,256.20487239530513
2015-12-17,CCE2,235.35906982421875
2015-12-18,CCE1,256.72863412174763
2015-12-18,CCE2,235.0352020263672
2015-12-19,CCE1,257.1423625474668
2015-12-19,CCE2,234.5177764892578
2015-12-20,CCE1,257.277415085685
2015-12-20,CCE2,232.04583740234375
2015-12-21,CCE1,257.3753984920152
2015-12-21,CCE2,237.34715270996097
2015-12-22,CCE1,257.70593919978387
2015-12-22,CCE2,237.9865570068359
2015-12-23,CCE1,256.36547690699985
2015-12-23,CCE2,234.5908966064453
2015-12-24,CCE1,256.0614765425261
2015-12-24,CCE2,233.11509704589844
2015-12-25,CCE1,256.2091003426449
2015-12-25,CCE2,228.89271545410156
2015-12-26,CCE1,257.38217560641687
2015-12-26,CCE2,232.95880126953125
2015-12-27,CCE1,258.25968383184187
2015-12-27,CCE2,233.68174743652344
2015-12-28,CCE1,258.0734008964914
2015-12-28,CCE2,232.6955108642578
2015-12-29,CCE1,258.8869501097924
2015-12-29,CCE2,235.33876037597656
2015-12-30,CCE1,260.5562520464733
2015-12-30,CCE2,232.89788818359375
